section,status,target_date,notes,paper
Research Conception,⏳,Jun 2026,"GPP recovery mechanics, rainfall coupling",Paper 2
Literature Review,🔒,Jul 2026,"ENSO, hydroclimatic driver studies",Paper 2
Study Site & Data,🔒,Jul 2026,"Extend SADC dataset, PML-V2 expansion",Paper 2
Conceptual Framework,🔒,Aug 2026,Recovery-penalized index framework,Paper 2
Methods: Recovery Windows,🔒,Aug 2026,30/60/90-day recovery analysis,Paper 2
Methods: Rainfall Drivers,🔒,Aug 2026,"CHIRPS ETCCDI extremes, lagged correlations",Paper 2
Results: Country Trajectories,🔒,Sep 2026,Per-country GPP recovery mapping,Paper 2
Results: Rainfall Coupling,🔒,Sep 2026,ΔR95pTOT vs RR regression,Paper 2
Discussion,🔒,Oct 2026,"Mechanisms, ENSO modulation, policy",Paper 2
Conclusion & Submission,🔒,Nov 2026,Target: Global Change Biology / RSE,Paper 2
Peer Review Response,🔒,Dec 2026,Revision cycle,Paper 2
Publication,🔒,2027,Final acceptance & DOI,Paper 2
